EmployeeNumber,Business_UNIT,Gender,JobLevel,JobRole,Department,Age,Hire_Year,Attrition_YEAR,Attrition,Year Last Promoted,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,PerformanceRating,BusinessTravel,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MaritalStatus,NumCompaniesWorked,Over18,OverTime,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Year Last Promoted_ORIG,YearsWithCurrManager
936,BU4,Female,2,Sales Executive,Sales,42,2013,,No,,6244,68,462,7824,17,3,Travel_Rarely,14,2,Medical,1,3,2,3,Single,7,Y,No,1,80,0,10,6,3,5,4,0,,3
939,BU4,Male,1,Data Scientist,Research & Development,33,2015,,No,,2799,100,1198,3339,11,3,Travel_Rarely,1,4,Other,1,3,2,1,Single,3,Y,Yes,2,80,0,6,1,3,3,2,0,,2
940,BU4,Female,3,Senior Associate,Research & Development,58,2012,,No,,10552,37,1272,9255,13,3,Travel_Rarely,5,3,Technical Degree,1,3,2,2,Divorced,2,Y,Yes,4,80,1,24,3,3,6,0,0,,4
941,BU4,Male,1,Sales Representative,Sales,31,2011,,No,2014,2329,41,154,11737,15,3,Travel_Rarely,7,4,Life Sciences,1,2,2,3,Married,3,Y,No,2,80,0,13,2,4,7,7,5,2004,2
942,BU4,Female,2,Senior Associate,Research & Development,35,2008,,No,,4014,51,1137,19170,25,4,Travel_Rarely,21,1,Life Sciences,1,4,3,4,Married,1,Y,Yes,4,80,1,10,2,1,10,6,0,,7
944,BU4,Female,3,Associate,Research & Development,49,1992,,No,2018,7403,51,527,22477,11,3,Travel_Rarely,8,2,Other,1,1,3,2,Married,4,Y,No,3,80,1,29,3,2,26,9,1,2008,7
945,BU4,Male,1,Data Scientist,Research & Development,48,2018,,No,,2259,51,1469,5543,17,3,Travel_Rarely,20,4,Medical,1,4,3,3,Married,4,Y,No,1,80,2,13,2,2,0,0,0,,0
947,BU4,Female,2,Sales Executive,Sales,31,2009,,No,,6932,45,1188,24406,13,3,Non-Travel,20,2,Marketing,1,4,3,3,Married,1,Y,No,4,80,1,9,2,2,9,8,0,,0
949,BU4,Male,1,Data Scientist,Research & Development,36,2012,,No,,4678,65,188,23293,18,3,Travel_Rarely,7,4,Other,1,2,3,4,Single,2,Y,No,3,80,0,8,6,3,6,2,0,,1
950,BU4,Female,3,Director,Research & Development,38,2003,,No,2014,13582,80,1333,16292,13,3,Travel_Rarely,1,3,Technical Degree,1,4,3,1,Married,1,Y,No,2,80,1,15,3,3,15,12,5,2006,11
951,BU4,Female,1,Associate,Research & Development,32,2015,,No,,2332,70,1184,3974,20,4,Non-Travel,1,3,Life Sciences,1,3,2,2,Married,6,Y,No,3,80,0,5,3,3,3,0,0,,2
952,BU4,Male,1,Sales Representative,Sales,25,2017,2016,Yes,,2413,36,867,18798,18,3,Travel_Rarely,19,2,Marketing,1,3,2,2,Married,1,Y,Yes,3,80,3,1,2,3,1,0,0,,0
954,BU4,Male,3,Sales Executive,Sales,40,2017,,No,,9705,67,658,20652,12,3,Travel_Rarely,10,4,Marketing,1,1,2,2,Divorced,2,Y,No,2,80,1,11,2,2,1,0,0,,0
956,BU4,Male,2,Sales Executive,Sales,26,2011,,No,,4294,52,1283,11148,12,3,Travel_Frequently,1,3,Medical,1,3,2,1,Single,1,Y,No,2,80,0,7,2,3,7,7,0,,7
957,BU4,Male,1,Associate,Research & Development,41,2000,,No,2017,4721,59,263,3119,13,3,Travel_Rarely,6,3,Medical,1,4,3,1,Single,2,Y,Yes,3,80,0,20,3,3,18,13,2,2006,17
958,BU4,Male,1,Associate,Research & Development,36,2007,,No,2016,2519,79,938,12287,21,4,Travel_Rarely,2,4,Medical,1,3,3,3,Single,4,Y,No,3,80,0,16,6,3,11,8,3,1998,9
959,BU4,Male,1,Sales Representative,Sales,19,2017,2015,Yes,,2121,37,419,9947,13,3,Travel_Rarely,21,3,Other,1,4,2,2,Single,1,Y,Yes,2,80,0,1,3,4,1,0,0,,0
960,BU4,Male,1,Associate,Research & Development,20,2017,2018,Yes,,2973,84,129,13008,19,3,Travel_Rarely,4,3,Technical Degree,1,1,3,1,Single,1,Y,No,2,80,0,1,2,3,1,0,0,,0
961,BU4,Female,2,Senior Associate,Research & Development,31,2009,,No,2011,5855,41,616,17369,11,3,Travel_Rarely,12,3,Medical,1,4,3,4,Married,0,Y,Yes,3,80,2,10,2,1,9,7,8,2008,5
964,BU4,Male,1,Data Scientist,Research & Development,40,2017,,No,,3617,35,1469,25063,14,3,Travel_Frequently,9,4,Medical,1,4,3,2,Divorced,8,Y,Yes,4,80,1,3,2,3,1,1,0,,0
966,BU4,Female,2,Associate Director,Research & Development,32,2010,,No,2013,6725,93,498,13554,12,3,Travel_Rarely,3,4,Medical,1,3,3,1,Married,1,Y,No,3,80,1,8,2,4,8,7,6,2007,3
967,BU4,Male,3,Sales Executive,Sales,36,2002,2017,Yes,2016,10325,51,530,5518,11,3,Travel_Rarely,3,1,Life Sciences,1,3,2,4,Married,1,Y,Yes,1,80,1,16,6,3,16,7,3,2008,7
969,BU4,Female,2,Senior Associate,Research & Development,33,2013,,No,2018,6949,42,1069,12291,14,3,Travel_Rarely,1,3,Life Sciences,1,2,2,4,Single,0,Y,No,1,80,0,6,3,3,5,0,1,2005,4
970,BU4,Male,3,Sales Executive,Sales,37,2004,2016,Yes,2008,10609,46,625,14922,11,3,Travel_Rarely,1,4,Life Sciences,1,1,2,3,Married,5,Y,No,3,80,0,17,2,1,14,1,11,2008,7
972,BU4,Male,2,Associate,Research & Development,45,2009,,No,,4447,57,805,23163,12,3,Non-Travel,4,2,Life Sciences,1,3,3,2,Married,1,Y,No,2,80,0,9,5,2,9,7,0,,8
974,BU4,Female,1,Sales Representative,Sales,29,2015,,No,,2157,84,1404,18203,15,3,Travel_Frequently,20,3,Technical Degree,1,3,3,4,Married,1,Y,No,2,80,1,3,5,3,3,1,0,,2
975,BU4,Female,2,Sales Executive,Sales,35,2013,,No,2018,4601,86,1219,6179,16,3,Travel_Rarely,18,3,Medical,1,3,3,3,Married,1,Y,No,2,80,0,5,3,3,5,2,1,2003,0
976,BU4,Male,4,Manager,Research & Development,52,2009,,No,2012,17099,70,1053,13829,15,3,Travel_Rarely,1,2,Life Sciences,1,4,3,4,Married,2,Y,No,2,80,1,26,2,2,9,8,7,2004,8
977,BU4,Male,1,Data Scientist,Research & Development,58,2017,2015,Yes,,2479,51,289,26227,24,4,Travel_Rarely,2,3,Technical Degree,1,4,3,3,Single,4,Y,No,1,80,0,7,4,3,1,0,0,,0
981,BU4,Male,4,Manager,Sales,53,2001,,No,2004,14852,45,1376,13938,13,3,Travel_Rarely,2,2,Medical,1,3,3,3,Divorced,6,Y,No,3,80,1,22,3,4,17,13,15,2006,2
982,BU4,Male,3,Sales Executive,Sales,30,2010,,No,2012,7264,62,231,9977,11,3,Travel_Rarely,8,2,Other,1,3,3,3,Divorced,5,Y,No,1,80,1,10,2,4,8,4,7,2008,7
983,BU4,Female,2,Sales Executive,Sales,38,2013,,No,2018,5666,85,152,19899,13,3,Non-Travel,10,3,Technical Degree,1,3,3,4,Single,1,Y,Yes,2,80,0,6,1,3,5,3,1,2006,3
984,BU4,Male,3,Sales Executive,Sales,35,2008,,No,,7823,92,882,6812,13,3,Travel_Rarely,3,4,Life Sciences,1,4,3,4,Divorced,6,Y,No,2,80,1,12,2,3,10,9,0,,8
985,BU4,Male,3,Sales Executive,Sales,39,2010,,No,,7880,41,903,2560,18,3,Travel_Rarely,2,5,Life Sciences,1,1,4,3,Single,0,Y,No,4,80,0,9,3,3,8,7,0,,7
986,BU4,Female,4,Sales Executive,Sales,40,2017,2018,Yes,,13194,100,1479,17071,16,3,Non-Travel,24,3,Life Sciences,1,2,4,2,Single,4,Y,Yes,4,80,0,22,2,2,1,0,0,,0
987,BU4,Male,2,Associate Director,Research & Development,47,1999,,No,2017,5067,64,1379,6759,19,3,Travel_Frequently,16,4,Medical,1,3,4,3,Divorced,1,Y,Yes,3,80,0,20,3,4,19,10,2,2000,7
990,BU4,Male,2,Sales Executive,Sales,36,2011,,No,,5079,84,1229,25952,13,3,Non-Travel,8,4,Technical Degree,1,1,3,4,Divorced,4,Y,No,4,80,2,12,3,3,7,7,0,,7
991,BU4,Male,1,Data Scientist,Research & Development,31,2015,2017,Yes,2018,2321,46,335,10322,22,4,Non-Travel,9,2,Medical,1,3,2,1,Single,0,Y,Yes,1,80,0,4,0,3,3,2,1,1997,2
992,BU4,Male,4,Manager,Sales,33,2008,,No,2013,17444,38,722,20489,11,3,Non-Travel,17,3,Life Sciences,1,4,3,3,Single,1,Y,No,4,80,0,10,2,3,10,8,6,2008,0
994,BU4,Female,1,Data Scientist,Research & Development,29,2018,2016,Yes,,2404,92,906,11479,20,4,Travel_Rarely,10,3,Life Sciences,1,4,2,1,Single,6,Y,Yes,3,80,0,3,5,3,0,0,0,,0
995,BU4,Female,1,Data Scientist,Research & Development,33,2015,,No,,3452,53,461,17241,18,3,Travel_Rarely,13,1,Life Sciences,1,2,3,4,Single,3,Y,No,1,80,0,5,4,3,3,2,0,,2
996,BU4,Female,1,Associate,Research & Development,45,2013,,No,,2270,91,974,11005,14,3,Travel_Rarely,1,4,Medical,1,4,3,4,Divorced,3,Y,No,4,80,2,8,2,3,5,3,0,,2
997,BU4,Male,4,Director,Research & Development,50,2013,,No,2018,17399,66,1126,6615,22,4,Travel_Rarely,1,2,Medical,1,4,3,4,Divorced,9,Y,No,3,80,1,32,1,2,5,4,1,1997,3
998,BU4,Female,2,Senior Associate,Research & Development,33,2012,,No,2018,5488,84,827,20161,13,3,Travel_Frequently,1,4,Other,1,3,4,2,Married,1,Y,Yes,1,80,1,6,2,3,6,5,1,2006,2
999,BU4,Male,5,Director,Research & Development,41,2000,,No,,19419,64,840,3735,17,3,Travel_Frequently,9,3,Medical,1,1,3,3,Divorced,2,Y,No,2,80,1,21,2,4,18,16,0,,11
1001,BU4,Female,1,Associate,Research & Development,27,2016,,No,2017,2811,37,1134,12086,14,3,Travel_Rarely,16,4,Technical Degree,1,3,3,2,Married,9,Y,No,2,80,1,4,2,3,2,2,2,2005,2
1002,BU4,Male,2,Associate,Research & Development,45,2009,,No,,3633,42,248,14039,15,3,Non-Travel,23,2,Life Sciences,1,4,3,1,Married,1,Y,Yes,3,80,1,9,2,3,9,8,0,,8
1003,BU4,Female,2,Sales Executive,Sales,47,2009,,No,,4163,83,955,8571,17,3,Travel_Rarely,4,2,Life Sciences,1,4,3,4,Single,1,Y,Yes,3,80,0,9,0,3,9,0,0,,7
1004,BU4,Female,1,Data Scientist,Research & Development,30,2013,2015,Yes,,2132,48,138,11539,11,3,Travel_Rarely,22,3,Life Sciences,1,1,3,3,Married,4,Y,Yes,2,80,0,7,2,3,5,2,0,,1
1005,BU4,Male,4,Associate Director,Research & Development,50,2006,,No,2018,13973,95,939,4161,18,3,Travel_Rarely,24,3,Life Sciences,1,4,3,3,Married,3,Y,Yes,4,80,1,22,2,3,12,11,1,2001,5
1006,BU4,Male,1,Data Scientist,Research & Development,38,2016,,No,,2684,66,1391,12127,17,3,Travel_Frequently,10,1,Medical,1,3,3,3,Married,0,Y,No,2,80,1,3,0,2,2,1,0,,2
1007,BU4,Male,3,Associate Director,Research & Development,46,2010,,No,,10845,75,566,24208,13,3,Travel_Rarely,7,2,Medical,1,4,3,3,Divorced,6,Y,No,2,80,1,13,3,3,8,7,0,,7
1009,BU4,Female,2,Associate Director,Research & Development,24,2014,,No,2016,4377,41,1206,24117,15,3,Travel_Rarely,17,1,Medical,1,4,2,3,Divorced,1,Y,No,2,80,2,5,6,3,4,2,3,2004,2
1010,BU4,Male,1,Associate,Research & Development,35,2014,2018,Yes,,3743,39,622,10074,24,4,Travel_Rarely,14,4,Other,1,3,2,2,Divorced,1,Y,Yes,4,80,1,5,2,1,4,2,0,,2
1011,BU4,Female,2,Associate Director,Research & Development,31,2014,,No,,4148,96,853,11275,12,3,Travel_Frequently,1,1,Life Sciences,1,3,3,1,Married,1,Y,No,3,80,1,4,1,3,4,3,0,,3
1012,BU4,Male,1,Data Scientist,Research & Development,18,2018,,No,,1051,73,287,13493,15,3,Non-Travel,5,2,Life Sciences,1,2,3,4,Single,1,Y,No,4,80,0,0,2,3,0,0,0,,0
1013,BU4,Female,3,Associate Director,Research & Development,54,2008,,No,,10739,56,1441,13943,11,3,Travel_Rarely,17,3,Technical Degree,1,3,3,3,Married,8,Y,No,3,80,1,22,2,3,10,7,0,,8
1014,BU4,Female,3,Senior Associate,Research & Development,35,2002,,No,2009,10388,57,583,6975,11,3,Travel_Rarely,25,4,Medical,1,3,3,3,Divorced,1,Y,Yes,3,80,1,16,3,2,16,10,10,2008,1
1015,BU4,Female,3,Director,Research & Development,30,2010,,No,2018,11416,73,153,17802,12,3,Travel_Rarely,8,2,Life Sciences,1,2,4,1,Married,0,Y,Yes,3,80,3,9,4,2,8,7,1,2007,7
1016,BU4,Female,1,Data Scientist,Research & Development,20,2017,2017,Yes,,2600,98,1097,18275,15,3,Travel_Rarely,11,3,Medical,1,4,2,1,Single,1,Y,Yes,1,80,0,1,2,3,1,0,0,,0
1017,BU4,Female,1,Associate,Research & Development,30,2015,2016,Yes,2018,2422,60,109,25725,17,3,Travel_Frequently,5,3,Medical,1,2,3,2,Single,0,Y,No,1,80,0,4,3,3,3,2,1,2002,2
1018,BU4,Male,2,Associate Director,Research & Development,26,2010,,No,2018,5472,32,1066,3334,12,3,Travel_Rarely,2,2,Medical,1,4,4,4,Married,1,Y,No,2,80,0,8,2,3,8,7,1,2007,3
1019,BU4,Male,1,Associate,Research & Development,22,2014,,No,2018,2451,94,217,6881,15,3,Travel_Rarely,8,1,Life Sciences,1,2,1,1,Married,1,Y,No,1,80,1,4,3,2,4,3,1,2004,1
1022,BU4,Male,2,Senior Associate,Research & Development,48,2016,,No,2017,4240,97,277,13119,13,3,Travel_Rarely,6,3,Life Sciences,1,1,2,3,Single,2,Y,No,4,80,0,19,0,3,2,2,2,2006,2
1024,BU4,Male,3,Senior Associate,Research & Development,48,2003,,No,2015,10999,78,1355,22245,14,3,Travel_Rarely,4,4,Life Sciences,1,3,2,3,Single,7,Y,No,2,80,0,27,3,3,15,11,4,2005,8
1025,BU4,Female,2,Associate Director,Research & Development,41,2016,,No,2017,5003,42,549,23371,14,3,Travel_Rarely,7,2,Medical,1,4,3,3,Single,6,Y,No,2,80,0,8,6,3,2,2,2,2005,1
1026,BU4,Female,4,Associate Director,Research & Development,39,1997,,No,2008,12742,65,466,7060,16,3,Travel_Rarely,1,1,Life Sciences,1,4,2,4,Married,1,Y,No,3,80,1,21,3,3,21,6,11,2003,8
1027,BU4,Female,2,Associate Director,Research & Development,27,2015,,No,2017,4227,47,1055,4658,18,3,Travel_Rarely,2,4,Life Sciences,1,1,3,4,Married,0,Y,No,2,80,1,4,2,3,3,2,2,2001,2
1028,BU4,Male,1,Associate,Research & Development,35,2015,,No,2018,3917,45,802,9541,20,4,Travel_Rarely,10,3,Other,1,2,3,4,Divorced,1,Y,No,1,80,1,3,4,2,3,2,1,1999,2
1029,BU4,Male,5,Manager,Sales,42,2017,,No,,18303,90,265,7770,13,3,Travel_Rarely,5,2,Marketing,1,4,3,3,Married,6,Y,No,2,80,0,21,3,4,1,0,0,,0
1030,BU4,Male,1,Associate,Research & Development,50,2017,,No,,2380,64,804,20165,18,3,Travel_Rarely,9,3,Life Sciences,1,1,3,4,Married,4,Y,No,2,80,0,8,5,3,1,0,0,,0
1032,BU4,Female,4,Associate Director,Research & Development,59,2013,,No,2015,13726,69,715,21829,13,3,Travel_Rarely,2,3,Life Sciences,1,3,2,4,Single,3,Y,Yes,1,80,0,30,4,3,5,3,4,2006,3
1033,BU4,Female,2,Senior Associate,Research & Development,37,2017,2015,Yes,,4777,61,1141,14382,15,3,Travel_Rarely,11,2,Medical,1,1,1,2,Married,5,Y,No,1,80,0,15,2,1,1,0,0,,0
1034,BU4,Male,2,Senior Associate,Research & Development,55,2010,,No,2013,6385,62,135,12992,14,3,Travel_Frequently,18,4,Medical,1,3,3,2,Married,3,Y,Yes,4,80,2,17,3,3,8,7,6,2005,7
1035,BU4,Female,5,Director,Research & Development,41,1997,,No,2014,19973,55,247,20284,22,4,Non-Travel,7,1,Life Sciences,1,2,1,3,Divorced,1,Y,No,2,80,2,21,3,3,21,16,5,1997,10
1036,BU4,Male,2,Sales Executive,Sales,38,2017,,No,,6861,42,1035,4981,12,3,Travel_Rarely,3,4,Life Sciences,1,2,3,4,Single,8,Y,Yes,3,80,0,19,1,3,1,0,0,,0
1037,BU4,Male,2,Sales Executive,Sales,26,2016,2018,Yes,2017,4969,79,265,21813,18,3,Non-Travel,29,2,Medical,1,2,1,1,Single,8,Y,No,4,80,0,7,6,3,2,2,2,2001,2
1038,BU4,Female,5,Manager,Sales,52,1986,2017,Yes,2013,19845,57,266,25846,15,3,Travel_Rarely,2,1,Marketing,1,1,1,4,Married,1,Y,No,4,80,1,33,3,3,32,14,6,2004,9
1039,BU4,Female,4,Sales Executive,Sales,44,2006,,No,2008,13320,53,1448,11737,18,3,Travel_Rarely,28,3,Medical,1,4,4,4,Married,3,Y,Yes,3,80,1,23,2,3,12,11,11,2001,11
1040,BU4,Female,2,Sales Executive,Sales,50,2000,,No,,6347,95,145,24920,12,3,Non-Travel,1,3,Life Sciences,1,4,3,3,Married,0,Y,No,1,80,1,19,3,3,18,7,0,,13
1042,BU4,Female,1,Associate,Research & Development,36,2001,2016,Yes,2004,2743,43,885,8269,16,3,Travel_Rarely,16,4,Life Sciences,1,3,4,1,Single,1,Y,No,3,80,0,18,1,3,17,13,15,2003,14
1043,BU4,Female,3,Associate Director,Research & Development,39,1997,,No,2017,10880,82,945,5083,13,3,Travel_Frequently,22,3,Medical,1,4,3,1,Single,1,Y,Yes,3,80,0,21,2,3,21,6,2,2006,8
1044,BU4,Female,1,Sales Representative,Sales,33,2016,,No,2017,2342,88,1038,21437,19,3,Non-Travel,8,1,Life Sciences,1,2,2,4,Single,0,Y,No,4,80,0,3,2,2,2,2,2,2000,2
1045,BU4,Female,4,Manager,Sales,45,2009,,No,2018,17650,90,1234,5404,13,3,Travel_Rarely,11,2,Life Sciences,1,4,3,4,Married,3,Y,No,2,80,1,26,4,4,9,3,1,2006,1
1046,BU4,Female,1,Associate,Research & Development,32,2010,,No,2012,4025,69,1109,11135,12,3,Non-Travel,29,4,Medical,1,4,3,3,Single,9,Y,No,2,80,0,10,2,3,8,7,7,2007,7
1047,BU4,Male,2,Sales Executive,Sales,34,2003,,No,,9725,75,216,12278,11,3,Travel_Rarely,1,4,Marketing,1,2,4,4,Divorced,0,Y,No,4,80,1,16,2,2,15,1,0,,9
1048,BU4,Male,3,Manager,Sales,59,2012,,No,,11904,66,1089,11038,14,3,Travel_Rarely,1,2,Technical Degree,1,2,3,4,Married,3,Y,Yes,3,80,1,14,1,1,6,4,0,,4
1049,BU4,Male,1,Human Resources,Human Resources,45,2012,,No,,2177,36,788,8318,16,3,Travel_Rarely,24,4,Medical,1,2,3,2,Single,1,Y,No,1,80,0,6,3,3,6,3,0,,4
1050,BU4,Female,3,Sales Executive,Sales,53,2003,,No,2013,7525,38,124,23537,12,3,Travel_Frequently,2,3,Marketing,1,3,2,2,Married,2,Y,No,1,80,1,30,2,3,15,7,6,2007,12
1052,BU4,Male,2,Associate,Research & Development,36,2017,2015,Yes,,4834,81,660,7858,14,3,Travel_Rarely,15,3,Other,1,1,3,3,Divorced,7,Y,No,2,80,1,9,3,2,1,0,0,,0
1053,BU4,Male,1,Data Scientist,Research & Development,26,2015,2018,Yes,2018,2042,57,342,15346,14,3,Travel_Frequently,2,3,Life Sciences,1,1,3,1,Married,6,Y,Yes,2,80,1,6,2,3,3,2,1,2005,2
1055,BU4,Female,1,Sales Representative,Sales,34,2017,,No,,2220,87,1333,18410,19,3,Travel_Rarely,10,4,Life Sciences,1,3,3,3,Married,1,Y,Yes,4,80,1,1,2,3,1,1,0,,0
1056,BU4,Male,1,Sales Representative,Sales,28,2017,,No,,1052,74,1144,23384,22,4,Travel_Rarely,10,1,Medical,1,4,3,2,Married,1,Y,No,2,80,0,1,5,3,1,0,0,,0
1060,BU4,Male,1,Data Scientist,Research & Development,38,2016,,No,2017,2821,44,1186,2997,16,3,Travel_Frequently,3,4,Other,1,3,3,3,Married,3,Y,No,1,80,1,8,2,3,2,2,2,2003,2
1061,BU4,Male,5,Director,Research & Development,50,2010,,No,2012,19237,62,1464,12853,11,3,Travel_Rarely,2,4,Medical,1,2,3,3,Married,2,Y,Yes,4,80,1,29,2,2,8,1,7,2008,7
1062,BU4,Female,2,Senior Associate,Research & Development,37,2014,,No,,4107,35,124,13848,15,3,Travel_Rarely,3,3,Other,1,4,3,2,Single,3,Y,No,1,80,0,8,3,2,4,3,0,,1
1066,BU4,Male,2,Sales Executive,Sales,40,2011,,No,2012,8396,74,300,22217,14,3,Travel_Rarely,26,3,Marketing,1,3,3,1,Married,1,Y,No,2,80,1,8,3,2,7,7,7,2005,5
1068,BU4,Female,1,Data Scientist,Research & Development,26,2013,,No,2018,2007,66,921,25265,13,3,Travel_Frequently,1,1,Medical,1,1,2,3,Divorced,1,Y,No,3,80,2,5,5,3,5,3,1,2006,3
1069,BU4,Male,5,Director,Research & Development,46,2016,,No,2017,19627,40,430,21445,17,3,Travel_Rarely,1,4,Medical,1,4,3,4,Divorced,9,Y,No,4,80,2,23,0,3,2,2,2,2002,2
1070,BU4,Female,3,Sales Executive,Sales,54,2009,,No,2012,10686,41,1082,8392,11,3,Travel_Rarely,2,4,Life Sciences,1,3,2,3,Married,6,Y,No,2,80,1,13,4,3,9,4,7,2008,0
1071,BU4,Female,1,Data Scientist,Research & Development,56,2013,,No,,2942,63,1240,12154,19,3,Travel_Frequently,9,3,Medical,1,1,3,3,Married,2,Y,No,2,80,1,18,4,3,5,4,0,,3
1073,BU4,Female,3,Associate Director,Research & Development,36,2004,,No,2012,8858,51,796,15669,11,3,Travel_Rarely,12,5,Medical,1,4,2,4,Single,0,Y,No,2,80,0,15,2,2,14,8,7,2008,8
1074,BU4,Male,4,Manager,Research & Development,55,2009,,No,2013,16756,40,444,17323,15,3,Non-Travel,2,1,Medical,1,3,2,1,Single,7,Y,No,2,80,0,31,3,4,9,7,6,2004,2
1076,BU4,Male,3,Sales Executive,Sales,43,2017,,No,,10798,79,415,5268,13,3,Travel_Rarely,25,3,Medical,1,3,2,4,Divorced,5,Y,No,3,80,1,18,5,3,1,0,0,,0
1077,BU4,Female,1,Sales Representative,Sales,20,2016,2017,Yes,,2323,54,769,17205,14,3,Travel_Frequently,9,3,Marketing,1,4,3,4,Single,1,Y,Yes,2,80,0,2,3,3,2,2,0,,2
1079,BU4,Female,1,Associate,Research & Development,21,2017,2016,Yes,2018,1416,36,1334,17258,13,3,Travel_Rarely,10,3,Life Sciences,1,3,2,1,Single,1,Y,No,1,80,0,1,6,2,1,0,1,2006,0
1080,BU4,Female,2,Data Scientist,Research & Development,46,2002,,No,2018,4615,74,1003,21029,23,4,Travel_Rarely,8,4,Life Sciences,1,4,2,1,Divorced,8,Y,Yes,1,80,3,19,2,3,16,13,1,1996,7
1081,BU4,Male,1,Data Scientist,Research & Development,51,2008,2015,Yes,2017,2461,34,1323,10332,12,3,Travel_Rarely,4,4,Life Sciences,1,1,3,3,Married,9,Y,Yes,3,80,3,18,2,4,10,0,2,2007,7
1082,BU4,Male,3,Senior Associate,Research & Development,28,2008,2018,Yes,2018,8722,72,1366,12355,12,3,Non-Travel,24,2,Technical Degree,1,2,2,1,Single,1,Y,No,1,80,0,10,2,2,10,7,1,2007,9
1083,BU4,Male,1,Associate,Research & Development,26,2013,,No,2018,3955,59,192,11141,16,3,Travel_Rarely,1,2,Medical,1,1,2,1,Married,1,Y,No,1,80,2,6,2,3,5,3,1,2003,3
1084,BU4,Male,2,Associate Director,Research & Development,30,2012,,No,,9957,85,1176,9096,15,3,Travel_Rarely,20,3,Other,1,3,3,1,Married,0,Y,No,3,80,1,7,1,2,6,2,0,,2
1085,BU4,Female,1,Data Scientist,Research & Development,41,2008,,No,,3376,43,509,18863,13,3,Travel_Rarely,7,2,Technical Degree,1,2,4,3,Married,1,Y,No,3,80,0,10,3,3,10,6,0,,8
1088,BU4,Female,3,Senior Associate,Research & Development,38,1999,,No,2018,8823,65,330,24608,18,3,Travel_Rarely,17,1,Life Sciences,1,3,2,3,Married,0,Y,No,1,80,1,20,4,2,19,9,1,2001,9
1092,BU4,Male,3,Senior Associate,Research & Development,40,2007,,No,2008,10322,61,1492,26542,20,4,Travel_Rarely,20,4,Technical Degree,1,1,3,4,Married,4,Y,No,4,80,1,14,6,3,11,10,11,1999,1
1094,BU4,Male,1,Associate,Research & Development,27,2015,,No,2018,4621,87,1277,5869,19,3,Non-Travel,8,5,Life Sciences,1,1,1,3,Married,1,Y,No,4,80,3,3,4,3,3,2,1,2000,2
1096,BU4,Male,3,Associate Director,Research & Development,55,2015,,No,2018,10976,65,1091,15813,18,3,Travel_Frequently,2,1,Life Sciences,1,4,3,2,Married,3,Y,No,2,80,1,23,4,3,3,2,1,2001,2
1097,BU4,Female,2,Data Scientist,Research & Development,28,2010,,No,2018,3660,59,857,7909,13,3,Travel_Rarely,10,3,Other,1,3,3,3,Single,3,Y,No,4,80,0,10,4,4,8,7,1,2006,7
1098,BU4,Male,3,Human Resources,Human Resources,44,1998,2017,Yes,2016,10482,91,1376,2326,14,3,Travel_Rarely,1,2,Medical,1,2,2,1,Married,9,Y,No,4,80,1,24,1,3,20,6,3,2005,6
1099,BU4,Male,3,Senior Associate,Research & Development,33,2015,,No,2018,7119,34,654,21214,15,3,Travel_Rarely,5,3,Life Sciences,1,4,2,4,Divorced,4,Y,No,3,80,1,9,2,3,3,2,1,2004,2
1100,BU4,Male,3,Sales Executive,Sales,35,2010,2016,Yes,2015,9582,86,1204,10333,22,4,Travel_Rarely,4,3,Technical Degree,1,4,3,1,Single,0,Y,Yes,1,80,0,9,2,3,8,7,4,1997,7
1101,BU4,Female,2,Data Scientist,Research & Development,33,2005,2015,Yes,2016,4508,54,827,3129,22,4,Travel_Frequently,29,4,Medical,1,1,2,3,Single,1,Y,No,2,80,0,14,4,3,13,7,3,1997,8
1102,BU4,Male,1,Associate,Research & Development,28,2014,,No,2017,2207,50,895,22482,16,3,Travel_Rarely,15,2,Life Sciences,1,1,3,3,Divorced,1,Y,No,4,80,1,4,5,2,4,2,2,2003,2
1103,BU4,Male,2,Senior Associate,Research & Development,34,2012,,No,,7756,45,618,22266,17,3,Travel_Frequently,3,1,Life Sciences,1,1,3,4,Single,0,Y,No,3,80,0,7,1,2,6,2,0,,4
1105,BU4,Female,2,Sales Executive,Sales,37,2017,,No,,6694,88,309,24223,14,3,Travel_Rarely,10,4,Life Sciences,1,4,2,4,Divorced,2,Y,Yes,3,80,3,8,5,3,1,0,0,,0
1106,BU4,Male,1,Associate,Research & Development,25,2011,2018,Yes,2014,3691,32,1219,4605,15,3,Travel_Rarely,4,1,Technical Degree,1,4,3,4,Married,1,Y,Yes,2,80,1,7,3,4,7,7,5,2004,6
1107,BU4,Male,1,Associate,Research & Development,26,2017,2017,Yes,,2377,37,1330,19373,20,4,Travel_Rarely,21,3,Medical,1,1,3,3,Divorced,1,Y,No,3,80,1,1,0,2,1,1,0,,0
